"","CD4","CD8","CK","CD20","FOXP3","CD68","CD11c","CD56"
"Grade.High","2.18e-01","2.70e-02","2.38e-02","5.90e-01","1.40e-01","7.06e-01","1.12e-01","4.94e-01"
"Grade.Low/Median",NA,NA,NA,NA,NA,NA,NA,NA
"smoking.Smoker","8.76e-01","1.31e-01","4.42e-02","8.97e-01","5.02e-01","2.37e-01","2.86e-01","4.01e-01"
"smoking.Non-smoker","7.16e-01","1.25e-01","2.04e-01","3.99e-01","6.01e-01","6.38e-01","8.47e-01","7.25e-01"
"AsbestosExposure.Yes","7.26e-03","8.19e-02","1.21e-01","7.26e-01","3.48e-01","7.35e-01","7.09e-01","3.92e-01"
"AsbestosExposure.No",NA,NA,NA,NA,NA,NA,NA,NA
"agesplit.Young","6.14e-01","5.07e-02","9.50e-02","6.96e-01","7.21e-01","2.75e-01","5.43e-01","5.95e-01"
"agesplit.Old","8.15e-01","5.21e-04","1.41e-02","8.15e-01","5.40e-01","8.87e-02","7.27e-03","2.51e-02"
"Race.White","8.00e-01","3.89e-04","5.10e-03","7.89e-01","4.19e-01","1.10e-01","3.75e-02","6.88e-01"
"Race.not White",NA,NA,NA,NA,NA,NA,NA,NA
"Gender.Male","2.31e-01","3.73e-03","4.71e-02","6.72e-01","6.19e-01","9.64e-01","7.27e-01","1.70e-01"
"Gender.Female","3.02e-01","1.27e-01","4.70e-03","7.50e-01","6.12e-01","3.29e-01","1.18e-01","3.40e-02"
